,AAPL_Price,consumer_sentiment,dollar_index,corp_profits,retail_sales
2020-04-01,58.46380615234375,71.8,123.8033,1871.838,7023.0
2020-05-01,70.1512222290039,72.3,123.1615,1871.838,9503.0
2020-06-01,78.31767272949219,78.1,120.2753,1871.838,11084.0
2020-07-01,88.60104370117188,72.5,120.0902,2553.784,11600.0
2020-09-01,130.8387451171875,80.4,115.5814,2553.784,11377.0
2020-10-01,113.88179016113281,81.8,116.7339,2398.03,12281.0
2020-12-01,119.87056732177734,80.7,112.8122,2398.03,13287.0
2021-02-01,131.02542114257812,76.8,112.4282,2716.546,10142.0
2021-03-01,125.0093765258789,84.9,112.538,2716.546,12962.0
2021-04-01,120.3236083984375,88.3,113.7504,2996.334,13199.0
2021-06-01,121.78224182128906,85.5,110.5179,2996.334,13982.0
2021-07-01,134.5111541748047,81.2,112.7484,2952.754,13992.0
2021-09-01,149.66880798339844,72.8,112.8832,2952.754,13760.0
2021-10-01,139.9925079345703,71.7,114.3899,2886.711,14570.0
2021-11-01,146.1849365234375,67.4,114.2231,2886.711,14092.0
2021-12-01,161.93638610839844,70.6,115.9026,2886.711,15155.0
2022-02-01,171.60719299316406,62.8,115.3775,2898.216,11944.0
2022-03-01,160.59771728515625,59.4,115.8062,2898.216,14115.0
2022-04-01,171.53060913085938,65.2,115.4835,3084.126,14392.0
2022-06-01,146.5537872314453,50.0,118.6936,3084.126,15405.0
2022-07-01,136.9156036376953,51.5,121.5123,2985.393,14637.0
2022-08-01,159.168212890625,58.2,121.4218,2985.393,15246.0
2022-09-01,155.88592529296875,58.6,124.4045,2985.393,14430.0
2022-11-01,148.67189025878906,56.7,127.4011,2834.572,13779.0
2022-12-01,146.60540771484375,59.8,122.0147,2834.572,14876.0
2023-02-01,143.75851440429688,66.9,118.6396,2931.223,12241.0
2023-03-01,143.8592071533203,62.0,120.6971,2931.223,13978.0
2023-05-01,167.89678955078125,59.0,119.5845,2989.192,15761.0
2023-06-01,178.53857421875,64.2,120.2628,2989.192,15572.0
2023-08-01,193.9248809814453,69.4,118.9156,3114.986,14452.0
2023-09-01,188.08152770996094,67.8,121.1011,3114.986,14548.0
2023-11-01,172.7042236328125,61.3,124.0801,3239.649,14692.0
2023-12-01,190.0986785888672,69.7,120.2542,3239.649,15328.0
2024-02-01,185.74481201171875,76.9,120.6832,3314.945,13391.0
2024-03-01,178.81565856933594,79.4,121.3741,3314.945,14938.0
2024-04-01,169.2309112548828,77.2,121.8884,3413.018,15387.0
2024-05-01,168.5043487548828,69.1,123.3776,3413.018,16610.0
2024-07-01,216.02395629882812,66.4,124.7723,3402.982,15482.0
2024-08-01,217.62857055664062,67.9,124.1551,3402.982,15760.0
2024-10-01,225.71324157714844,70.5,121.9152,3631.383,16673.0
2024-11-01,222.42047119140625,71.8,125.0403,3631.383,14535.0
